name_norm,latitude,longitude,country,is_city,is_main_station,is_airport
Entzheim Aeroport,48.54699,7.62794,France,FAUX,FAUX,VRAI
Aeroport Paris Roissy Charles de Gaulle CDG,49.00412433626132,2.5707364082336426,France,FAUX,FAUX,VRAI
Lyon St-Exupery TGV,45.721109,5.074969,France,FAUX,FAUX,VRAI
Aeroport Marseille-Provence Bus,43.44129735202746,5.237088203430176,France,FAUX,FAUX,VRAI
Brussels-Airport-Zaventem,50.8985400058829,4.483022689819336,Belgique,FAUX,FAUX,VRAI
Geneve Aeroport,46.232376,6.112098,Suisse,FAUX,FAUX,VRAI
Frankfurt (M) Flughafen,50.051209,8.570971,Allemagne,FAUX,FAUX,VRAI
Berlin-Schonefeld Flughafen,52.391641,13.513178,Allemagne,FAUX,FAUX,VRAI
Dusseldorf Flughafen,51.292008,6.786837,Allemagne,FAUX,FAUX,VRAI
Frankfurt (M) Flughafen Fernbf,50.05290581298199,8.569872379302979,Allemagne,FAUX,FAUX,VRAI
Koln/Bonn Flughafen,50.8789,7.119303,Allemagne,FAUX,FAUX,VRAI
Southampton Airport Parkway,50.950638,-1.36362,Royaume-Uni,FAUX,FAUX,VRAI
Gatwick-Airport,NA,NA,Royaume-Uni,FAUX,FAUX,VRAI
Gatwick Airport,51.156425,-0.161022,Royaume-Uni,FAUX,FAUX,VRAI 
Gatwick Airport,NA,NA,Royaume-Uni,FAUX,FAUX,VRAI
Luton Airport,51.880918,-0.413341,Royaume-Uni,FAUX,FAUX,VRAI
Manchester Airport,53.361568,-2.268941,Royaume-Uni,FAUX,FAUX,VRAI
Stansted Airport,51.888979,0.26162,Royaume-Uni,FAUX,FAUX,VRAI
Heathrow Airport,51.478443,-0.46134,Royaume-Uni,FAUX,FAUX,VRAI
London City Airport,NA,NA,Royaume-Uni,FAUX,FAUX,VRAI
Schiphol Airport,52.308787,4.761487,Pays-Bas,FAUX,FAUX,VRAI
Aeroport de Beauvais-Tille,49.459460144878,2.11222350597382,France,FAUX,FAUX,VRAI
Aeroport-d'Orly-Val,NA,NA,France,FAUX,FAUX,VRAI
Vitrolles Aeroport Marseille-Provence TER,43.441734,5.237122,France,FAUX,FAUX,VRAI
Roissy-Aeroport-CDG 2,NA,NA,France,FAUX,FAUX,VRAI
Aeroport-Charles-de-Gaulle-1,49.00956,2.56135,France,FAUX,FAUX,VRAI
Aeroport Paris Orly,48.7294,2.3681,France,FAUX,FAUX,VRAI
Aeroport-d'Orly,NA,NA,France,FAUX,FAUX,VRAI
Aeroport-Charles-de-Gaulle-2-S,NA,NA,France,FAUX,FAUX,VRAI
Aeroport-Charles-de-Gaulle-2-RER,49.003652,2.570892,France,FAUX,FAUX,VRAI
Pont-de-Rungis-Aeroport-d'Orly,48.748163,2.372792,France,FAUX,FAUX,VRAI
Aeroport Paris Orly Sud,48.729,2.3699,France,FAUX,FAUX,VRAI
Aeroport-Charles-de-Gaulle,NA,NA,France,FAUX,FAUX,VRAI
Aulnat Aeroport,45.7920571,3.1614332,France,FAUX,FAUX,VRAI
Aeroport-Lyon-Saint-Exupery,NA,NA,France,FAUX,FAUX,VRAI
Dusseldorf Flughafen Terminal,51.276538,6.767043,Allemagne,FAUX,FAUX,VRAI
Friedrichshafen Flughafen,47.672214,9.523711,Allemagne,FAUX,FAUX,VRAI
Hamburg Airport,53.633168,10.006405,Allemagne,FAUX,FAUX,VRAI
Hannover Flughafen,52.459302,9.700817,Allemagne,FAUX,FAUX,VRAI
Koln Airport-Businesspark,50.910281,7.04445,Allemagne,FAUX,FAUX,VRAI
Lubeck Flughafen,53.803181,10.69772,Allemagne,FAUX,FAUX,VRAI
Munchen Flughafen Besucherpark,48.352023,11.764488,Allemagne,FAUX,FAUX,VRAI
Stuttgart Flughafen/Messe,48.690647,9.192629,Allemagne,FAUX,FAUX,VRAI
Berlin Brandenburg Flughafen,52.365641,13.5125,Allemagne,FAUX,FAUX,VRAI
Dresden Flughafen,51.124854,13.766224,Allemagne,FAUX,FAUX,VRAI
Leipzig/Halle Flughafen,51.42334,12.223423,Allemagne,FAUX,FAUX,VRAI
